name,description
calendly,
crypto-django,
daily-goals,Add your daily goals on this simple app and it will push you daily to achieive the same
django,The Web framework for perfectionists with deadlines.
dondler-temp,
dotfiles,
DropwizardDEMO,
DSA,
Episode-Manager,An Episode Manager to manage all your TV Shows right from your screen
face-api.js,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js
face-detection-recognition,"A Face Detection and Recognition Application using various modules such as opencv, numpy, etc."
flasky,uploading entire trial site
geeksforgeeks,
gfg-pdf-convert,
hangman-game,
hiring-without-whiteboards,⭐️  Companies that don't have a broken hiring process
JEDI-06_Flipkart,
jmit-results,
latest_remote,
luschedule,"A complete schedule manager for your daily lifestyle.     Achieve your daily goals, mark them, calculate efficiency, etc."
notepad,Notepad GUI application using Python
notes,An app where you can write all your secret stuff to be remembered.
Planto,
Practice-REST,
qrcode-generator,
react-basics,
requests,
rest_framework_tutorial,
resume,Just Trying to create a resume
rotating-proxies,Rotating Proxies Module for Scrappers written in python.
